Area,Item,Year,Unit,Value
Afghanistan,"Almonds, in shell",2020,100 g/ha,17759
Afghanistan,"Almonds, in shell",2021,100 g/ha,18748
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,100 g/ha,7409
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,100 g/ha,7379
Afghanistan,Apples,2020,100 g/ha,105626
Afghanistan,Apples,2021,100 g/ha,110245
Afghanistan,Apricots,2020,100 g/ha,75389
Afghanistan,Apricots,2021,100 g/ha,74779
Afghanistan,Barley,2020,100 g/ha,14838
Afghanistan,Barley,2021,100 g/ha,14594
Afghanistan,Cantaloupes and other melons,2020,100 g/ha,134623
Afghanistan,Cantaloupes and other melons,2021,100 g/ha,140282
Afghanistan,Figs,2020,100 g/ha,49686
Afghanistan,Figs,2021,100 g/ha,45706
Afghanistan,Grapes,2020,100 g/ha,107295
Afghanistan,Grapes,2021,100 g/ha,107348
Afghanistan,Linseed,2020,100 g/ha,11006
Afghanistan,Linseed,2021,100 g/ha,9475
Afghanistan,Maize (corn),2020,100 g/ha,19344
Afghanistan,Maize (corn),2021,100 g/ha,19535
Afghanistan,Millet,2020,100 g/ha,13187
Afghanistan,Millet,2021,100 g/ha,10613
Afghanistan,Olives,2020,100 g/ha,35703
Afghanistan,Olives,2021,100 g/ha,36392
Afghanistan,"Onions and shallots, dry (excluding dehydrated)",2020,100 g/ha,168470
Afghanistan,"Onions and shallots, dry (excluding dehydrated)",2021,100 g/ha,150370
Afghanistan,Oranges,2020,100 g/ha,72313
Afghanistan,Oranges,2021,100 g/ha,65291
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2020,100 g/ha,43421
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,2021,100 g/ha,41138
Afghanistan,"Other citrus fruit, n.e.c.",2020,100 g/ha,84076
Afghanistan,"Other citrus fruit, n.e.c.",2021,100 g/ha,82883
